filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200502_VACUUM1_5,F200502,VACUUM,1,5.0,noisy,,-0.0003927946090698242
F200502_VACUUM1_10,F200502,VACUUM,1,10.0,noisy,,-0.0005626678466796875
F200502_VACUUM1_20,F200502,VACUUM,1,20.0,noisy,,-0.0021016597747802734
F200502_VACUUM1_inf,F200502,VACUUM,1,inf,noisy,,
F200502_VACUUM2_-20,F200502,VACUUM,2,-20.0,noisy,,-2.1457672119140625e-05
F200502_VACUUM2_-10,F200502,VACUUM,2,-10.0,noisy,,-3.933906555175781e-05
F200502_VACUUM2_-5,F200502,VACUUM,2,-5.0,noisy,,-2.9206275939941406e-05
F200502_VACUUM2_0,F200502,VACUUM,2,0.0,noisy,,-0.0001118288219004171
F200502_VACUUM2_5,F200502,VACUUM,2,5.0,noisy,,-0.0003096461296081543
F200502_VACUUM2_10,F200502,VACUUM,2,10.0,noisy,,-0.0004380941390991211
F200502_VACUUM2_20,F200502,VACUUM,2,20.0,noisy,,-0.001894235610961914
F200502_VACUUM2_inf,F200502,VACUUM,2,inf,noisy,,
F200502_VACUUM3_-20,F200502,VACUUM,3,-20.0,noisy,,-2.384185791015625e-06
F200502_VACUUM3_-10,F200502,VACUUM,3,-10.0,noisy,,-3.814697265625e-05
F200502_VACUUM3_-5,F200502,VACUUM,3,-5.0,noisy,,-7.56978988647461e-05
F200502_VACUUM3_0,F200502,VACUUM,3,0.0,noisy,,-0.0001573895315232221
F200502_VACUUM3_5,F200502,VACUUM,3,5.0,noisy,,-0.0002193450927734375
F200502_VACUUM3_10,F200502,VACUUM,3,10.0,noisy,,-0.0001919269561767578
F200502_VACUUM3_20,F200502,VACUUM,3,20.0,noisy,,-0.002206563949584961
F200502_VACUUM3_inf,F200502,VACUUM,3,inf,noisy,,
F200502_VACUUM4_-20,F200502,VACUUM,4,-20.0,noisy,,-1.1920928955078125e-05
F200502_VACUUM4_-10,F200502,VACUUM,4,-10.0,noisy,,-3.0994415283203125e-05
F200502_VACUUM4_-5,F200502,VACUUM,4,-5.0,noisy,,-0.00011265277862548828
F200502_VACUUM4_0,F200502,VACUUM,4,0.0,noisy,,-0.00014651704987045377
F200502_VACUUM4_5,F200502,VACUUM,4,5.0,noisy,,-0.00023216009140014648
F200502_VACUUM4_10,F200502,VACUUM,4,10.0,noisy,,-0.0005251169204711914
F200502_VACUUM4_20,F200502,VACUUM,4,20.0,noisy,,-0.0029325485229492188
F200502_VACUUM4_inf,F200502,VACUUM,4,inf,noisy,,
F200502_WASHING0_-20,F200502,WASHING,0,-20.0,noisy,,1.0728836059570312e-05
F200502_WASHING0_-10,F200502,WASHING,0,-10.0,noisy,,1.4901161193847656e-05
F200502_WASHING0_-5,F200502,WASHING,0,-5.0,noisy,,1.4901161193847656e-06
F200502_WASHING0_0,F200502,WASHING,0,0.0,noisy,,0.0001004363912215922
F200502_WASHING0_5,F200502,WASHING,0,5.0,noisy,,0.00012755393981933594
F200502_WASHING0_10,F200502,WASHING,0,10.0,noisy,,0.00023245811462402344
F200502_WASHING0_20,F200502,WASHING,0,20.0,noisy,,-0.00038743019104003906
F200502_WASHING0_inf,F200502,WASHING,0,inf,noisy,,
F200502_WASHING1_-20,F200502,WASHING,1,-20.0,noisy,,1.0728836059570312e-05
F200502_WASHING1_-10,F200502,WASHING,1,-10.0,noisy,,2.1457672119140625e-05
F200502_WASHING1_-5,F200502,WASHING,1,-5.0,noisy,,3.0994415283203125e-05
F200502_WASHING1_0,F200502,WASHING,1,0.0,noisy,,0.0001226977565238485
F200502_WASHING1_5,F200502,WASHING,1,5.0,noisy,,0.0001913309097290039
