filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr
F200707_VACUUM0_0,F200707,VACUUM,0,0.0,noisy,1.5721622705459595,0.6446403795233691,2.893459937997778
F200707_VACUUM0_5,F200707,VACUUM,0,5.0,noisy,1.7441197633743286,0.7219696964387633,6.411150655327718
F200707_VACUUM0_10,F200707,VACUUM,0,10.0,noisy,1.9421392679214478,0.8035739912658856,10.952805003694465
F200707_VACUUM0_20,F200707,VACUUM,0,20.0,noisy,2.424299478530884,0.935620657192763,16.045763381046005
F200707_VACUUM0_inf,F200707,VACUUM,0,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_VACUUM1_-20,F200707,VACUUM,1,-20.0,noisy,1.2309255599975586,0.4150815160770362,2.160208340696516
F200707_VACUUM1_-10,F200707,VACUUM,1,-10.0,noisy,1.28779935836792,0.5465914644835662,2.3847562940317633
F200707_VACUUM1_-5,F200707,VACUUM,1,-5.0,noisy,1.5694659948349,0.6076928355524319,3.310421460141197
F200707_VACUUM1_0,F200707,VACUUM,1,0.0,noisy,1.5828311443328857,0.6708857837520305,5.762314285175009
F200707_VACUUM1_5,F200707,VACUUM,1,5.0,noisy,1.7590296268463135,0.7476488174079013,9.741258449255628
F200707_VACUUM1_10,F200707,VACUUM,1,10.0,noisy,2.0166454315185547,0.8288533397501923,13.350259077449756
F200707_VACUUM1_20,F200707,VACUUM,1,20.0,noisy,2.5974831581115723,0.9472735465082939,16.413635104509755
F200707_VACUUM1_inf,F200707,VACUUM,1,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_VACUUM2_-20,F200707,VACUUM,2,-20.0,noisy,0.8704199194908142,0.3893918063555447,0.9295636758213307
F200707_VACUUM2_-10,F200707,VACUUM,2,-10.0,noisy,1.119929313659668,0.4894126078230443,0.9838210943871524
F200707_VACUUM2_-5,F200707,VACUUM,2,-5.0,noisy,1.2437853813171387,0.5538948131947042,1.3916536345809323
F200707_VACUUM2_0,F200707,VACUUM,2,0.0,noisy,1.4256141185760498,0.6309454674942323,2.788159429110604
F200707_VACUUM2_5,F200707,VACUUM,2,5.0,noisy,1.6598851680755615,0.7156493832011698,5.987208253459736
F200707_VACUUM2_10,F200707,VACUUM,2,10.0,noisy,1.891084909439087,0.8050960492086615,10.477014853375312
F200707_VACUUM2_20,F200707,VACUUM,2,20.0,noisy,2.4669697284698486,0.9380403816636118,15.932934945046528
F200707_VACUUM2_inf,F200707,VACUUM,2,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_VACUUM3_-20,F200707,VACUUM,3,-20.0,noisy,1.0046488046646118,0.3629120221964642,0.7810698273299312
F200707_VACUUM3_-10,F200707,VACUUM,3,-10.0,noisy,0.8034635782241821,0.4644078311540131,0.8957257640873798
F200707_VACUUM3_-5,F200707,VACUUM,3,-5.0,noisy,1.2899377346038818,0.5322547012113995,1.3613299496897948
F200707_VACUUM3_0,F200707,VACUUM,3,0.0,noisy,1.4830135107040405,0.61185671538301,2.837447685042883
F200707_VACUUM3_5,F200707,VACUUM,3,5.0,noisy,1.704243540763855,0.6979729143307586,6.080083978981117
F200707_VACUUM3_10,F200707,VACUUM,3,10.0,noisy,1.9175541400909424,0.7857644442408689,10.4757241075211
F200707_VACUUM3_20,F200707,VACUUM,3,20.0,noisy,2.4354159832000732,0.9229798388620066,15.830241698094511
F200707_VACUUM3_inf,F200707,VACUUM,3,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_VACUUM4_-20,F200707,VACUUM,4,-20.0,noisy,1.0010228157043457,0.39110927160813147,0.7902267724607842
F200707_VACUUM4_-10,F200707,VACUUM,4,-10.0,noisy,0.812919020652771,0.48656313589388384,0.8985490817200841
F200707_VACUUM4_-5,F200707,VACUUM,4,-5.0,noisy,1.254988670349121,0.5512815780288363,1.3614220650942293
F200707_VACUUM4_0,F200707,VACUUM,4,0.0,noisy,1.4557193517684937,0.6243714808061934,2.8516857057842637
F200707_VACUUM4_5,F200707,VACUUM,4,5.0,noisy,1.687558889389038,0.7018372964671279,6.17934014918302
F200707_VACUUM4_10,F200707,VACUUM,4,10.0,noisy,1.9160642623901367,0.7856764704522586,10.659999060516958
F200707_VACUUM4_20,F200707,VACUUM,4,20.0,noisy,2.421510934829712,0.9257786524895903,15.945259837078108
F200707_VACUUM4_inf,F200707,VACUUM,4,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_WASHING0_-20,F200707,WASHING,0,-20.0,noisy,0.6097444891929626,0.3459579551209627,0.47466379568526085
F200707_WASHING0_-10,F200707,WASHING,0,-10.0,noisy,1.0791879892349243,0.5136126898433405,0.625994991792529
F200707_WASHING0_-5,F200707,WASHING,0,-5.0,noisy,1.4350298643112183,0.6306868213528014,1.2165010604810158
F200707_WASHING0_0,F200707,WASHING,0,0.0,noisy,1.8127222061157227,0.7355199152075232,3.0686616612986737
F200707_WASHING0_5,F200707,WASHING,0,5.0,noisy,2.146606683731079,0.8201393062192015,6.851822857424634
F200707_WASHING0_10,F200707,WASHING,0,10.0,noisy,2.4942846298217773,0.8935314155218719,11.348962667794236
F200707_WASHING0_20,F200707,WASHING,0,20.0,noisy,3.2143125534057617,0.9741261418499502,16.088827167512623
F200707_WASHING0_inf,F200707,WASHING,0,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_WASHING1_-20,F200707,WASHING,1,-20.0,noisy,0.9181252121925354,0.29857122394108127,0.9387939059591536
F200707_WASHING1_-10,F200707,WASHING,1,-10.0,noisy,0.9599107503890991,0.4270670117657956,1.025599720234897
F200707_WASHING1_-5,F200707,WASHING,1,-5.0,noisy,1.2685723304748535,0.5387056138631616,1.4483020012772712
F200707_WASHING1_0,F200707,WASHING,1,0.0,noisy,1.6226273775100708,0.6555650378988522,2.9218092247739027
F200707_WASHING1_5,F200707,WASHING,1,5.0,noisy,1.9453436136245728,0.7556434520771166,6.378867402449474
F200707_WASHING1_10,F200707,WASHING,1,10.0,noisy,2.272890567779541,0.8383825759752401,11.108892916721938
F200707_WASHING1_20,F200707,WASHING,1,20.0,noisy,2.980785369873047,0.9587823245389216,16.275760745128668
F200707_WASHING1_inf,F200707,WASHING,1,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_WASHING2_-20,F200707,WASHING,2,-20.0,noisy,0.6836906671524048,0.3784215181551438,0.46776757303177435
